frame,frame_ms,terrain_ms,spaceship_ms,launchpad_ms,viewA_ms,viewB_ms,cpuRender_ms,cpuFrame_ms
1,2.23334,2.15962,0.001024,0.0256,2.19034,0.001024,1.9681,2.1127
2,2.59789,2.52928,0.001024,0.0256,2.56,0.001024,2.6577,2.7131
0,12.4539,2.51187,0.001024,0.024576,2.54157,0.001024,0.1953,0.2271
1,17.0097,2.14733,0.001024,0.0256,2.176,0.001024,12.9156,12.9319
2,16.3871,2.14733,0.001024,0.024576,2.17702,0.001024,17.0415,17.064
0,17.4612,2.14835,0.001024,0.026624,2.17907,0,16.1167,16.1616
1,18.561,2.14835,0.001024,0.0256,2.17907,0.001024,17.34,17.3752
2,14.462,2.1463,0.001024,0.0256,2.176,0,17.7631,17.8028
0,16.9431,2.14733,0.001024,0.024576,2.176,0.001024,13.9293,14.0101
1,16.0369,2.14835,0.001024,0.0256,2.17702,0.001024,16.9104,16.9422
2,17.364,2.14733,0.001024,0.023552,2.176,0.001024,16.6951,16.7276
0,15.9406,2.14733,0.001024,0.0256,2.17702,0.001024,15.7872,15.8223
1,16.6728,2.14835,0.001024,0.0256,2.17805,0.001024,15.8779,15.9103
2,16.6902,2.14733,0,0.026624,2.17702,0,16.549,16.5861
0,17.278,2.14733,0.001024,0.0256,2.17702,0.001024,16.5663,16.6971
1,15.8249,2.1463,0.001024,0.026624,2.176,0.001024,17.1758,17.211
2,33.5964,2.14733,0.001024,0.026624,2.17805,0.001024,15.7296,15.7636
0,16.9789,2.14733,0.001024,0.024576,2.176,0.001024,33.4951,33.5438
1,15.9939,2.1463,0.001024,0.0256,2.176,0.001024,16.834,16.87
2,16.9595,2.14733,0.001024,0.0256,2.176,0.001024,15.9983,16.0294
0,18.0081,2.14733,0.001024,0.0256,2.176,0.001024,16.9392,16.9735
1,15.1982,2.14835,0.001024,0.026624,2.1801,0.001024,17.263,17.2954
2,16.9052,2.14733,0,0.0256,2.176,0.001024,15.6993,15.7328
0,16.7342,2.14733,0.001024,0.024576,2.17702,0.001024,16.9725,17.0046
1,16.4045,2.14938,0,0.0256,2.17805,0.001024,16.5912,16.6245
2,16.4311,2.14835,0.001024,0.024576,2.17805,0.001024,15.7645,15.7973
0,16.981,2.15142,0.001024,0.0256,2.18214,0,16.1821,16.2209
1,17.1878,2.14835,0,0.026624,2.17805,0.001024,16.3386,16.3832
2,15.6314,2.14835,0,0.0256,2.17805,0.001024,16.5736,16.6172
0,17.6353,2.14938,0.001024,0.024576,2.17805,0.001024,13.9793,14.0227
1,16.1362,2.15245,0,0.0256,2.18214,0.001024,17.0595,17.0899
2,16.9247,2.14938,0.001024,0.0256,2.17907,0.001024,15.7345,15.7674
0,16.1587,2.15142,0.001024,0.024576,2.1801,0.001024,16.5343,16.5838
1,16.638,2.15142,0.001024,0.024576,2.1801,0.001024,15.892,15.9991
2,16.6636,2.15142,0.001024,0.024576,2.18112,0.001024,16.3939,16.4273
0,18.2477,2.14938,0.001024,0.024576,2.17907,0,16.3596,16.3919
1,15.7686,2.1504,0.001024,0.024576,2.1801,0.001024,17.2895,17.3251
2,16.1096,2.1504,0.001024,0.024576,2.1801,0,15.4461,15.499
0,16.8653,2.15142,0.001024,0.0256,2.18112,0.001024,15.8609,15.9058
1,16.769,2.15245,0.001024,0.0256,2.18317,0,16.5364,16.5821
2,16.5294,2.15347,0.001024,0.024576,2.18317,0.001024,16.7014,16.7367
0,16.7875,2.14938,0.001024,0.0256,2.1801,0,16.4416,16.4716
1,17.4817,2.15142,0.001024,0.024576,2.1801,0.001024,16.6876,16.7283
2,15.4532,2.15552,0.001024,0.024576,2.18522,0,16.4371,16.4711
0,16.7936,2.14835,0,0.026624,2.17907,0,16.3241,16.3561
1,16.6144,2.1504,0.001024,0.0256,2.1801,0.001024,16.6176,16.6738
2,18.6194,2.15347,0.001024,0.0256,2.18419,0.001024,16.2479,16.3079
0,14.8644,2.1545,0.001024,0.024576,2.18317,0.001024,18.6186,18.6456
1,16.8499,2.1504,0.001024,0.024576,2.1801,0.001024,14.7084,14.7415
2,16.3727,2.15245,0.001024,0.0256,2.18214,0.001024,16.7855,16.8364
0,17.2001,2.15552,0.001024,0.023552,2.18419,0.001024,16.4113,16.4353
1,16.5192,2.15142,0,0.0256,2.18112,0.001024,16.5345,16.5661
2,16.6124,2.1504,0.001024,0.0256,2.17907,0.001024,16.4528,16.5191
0,16.4536,2.15347,0.001024,0.024576,2.18317,0.001024,16.3415,16.3732
1,17.5319,2.15347,0.001024,0.026624,2.18419,0,15.495,15.5272
2,15.8382,2.14835,0.001024,0.024576,2.17805,0.001024,16.4614,16.5078
0,16.8182,2.15142,0.001024,0.023552,2.1801,0.001024,14.8364,14.8687
1,17.2155,2.15552,0.001024,0.0256,2.18419,0.001024,16.3195,16.3542
2,15.8884,2.14938,0.001024,0.0256,2.1801,0.001024,17.045,17.078
0,16.5796,2.15757,0.001024,0.024576,2.18726,0,14.8799,14.918
1,17.3588,2.15245,0,0.024576,2.18112,0,15.9223,15.9595
2,15.8904,2.15245,0,0.024576,2.1801,0.001024,16.5327,16.5666
0,16.7485,2.15142,0.001024,0.026624,2.18112,0.001024,15.8778,15.9208
1,139.447,2.15245,0.001024,0.024576,2.18112,0.001024,16.0567,16.091
2,13.6663,2.17702,0,0.026624,2.20877,0.001024,2.816,2.9652
0,2.94093,2.18624,0,0.022528,2.21286,0.001024,3.8471,3.9475
1,2.3255,2.18419,0.001024,0.023552,2.21389,0.001024,10.6021,10.6329
2,12.0771,2.75354,0.001024,0.024576,2.78221,0.001024,1.3531,1.3999
0,10.5083,2.16576,0.001024,0.024576,2.19546,0.001024,12.7534,12.7939
1,33.3271,2.16474,0.001024,0.024576,2.19341,0.001024,10.5299,10.5785
2,17.0732,2.16064,0,0.0256,2.19034,0.001024,33.1982,33.2313
0,16.2253,2.16064,0.001024,0.024576,2.19034,0.001024,17.0633,17.0969
1,15.7235,2.16166,0.001024,0.0256,2.19136,0.001024,15.7921,15.8342
2,16.8131,2.16064,0.001024,0.026624,2.18931,0.001024,15.9198,15.9645
0,16.5509,2.16576,0,0.0256,2.19546,0.001024,16.6814,16.7277
1,16.9615,2.16371,0.001024,0.023552,2.19238,0.001024,16.5537,16.5887
2,16.641,2.16371,0,0.024576,2.19238,0.001024,16.8485,16.8968
0,16.9933,2.16678,0.001024,0.024576,2.19648,0.001024,16.5729,16.6131
1,15.9642,2.15962,0,0.0256,2.18931,0.001024,16.9576,16.9938
2,16.9738,2.15962,0.001024,0.024576,2.18931,0.001024,15.941,15.9805
0,16.511,2.16371,0.001024,0.024576,2.19341,0,16.9476,16.9791
1,16.7823,2.15552,0.001024,0.0256,2.18522,0.001024,16.2969,16.3384
2,16.5714,2.16371,0.001024,0.0256,2.19341,0.001024,16.7932,16.829
0,17.5555,2.16474,0.001024,0.0256,2.19443,0.001024,16.5243,16.5608
1,15.7737,2.16371,0.001024,0.024576,2.19341,0.001024,17.3619,17.3956
2,16.7516,2.16883,0.001024,0.0256,2.1975,0.001024,15.8903,15.9204
0,17.065,2.16166,0.001024,0.024576,2.19034,0,16.6554,16.6848
1,15.6467,2.15962,0.001024,0.024576,2.18829,0,15.8311,15.8609
2,34.7177,2.16064,0.001024,0.0256,2.19034,0.001024,16.7145,16.7449
0,15.5331,2.15859,0.001024,0.0256,2.18931,0,34.6481,34.6779
1,16.6042,2.16064,0.001024,0.0256,2.18931,0.001024,15.4516,15.4863
2,16.8458,2.16576,0.001024,0.024576,2.19648,0,16.6233,16.6571
0,16.8837,2.15859,0,0.0256,2.18829,0,16.4031,16.4654
1,16.6298,2.1545,0.001024,0.024576,2.18419,0.001024,16.9697,17.033
2,16.3738,2.16781,0,0.0256,2.19853,0.001024,16.4315,16.4738
0,17.2278,2.16576,0.001024,0.024576,2.19546,0.001024,16.4093,16.445
1,17.2841,2.15962,0.001024,0.024576,2.18931,0,17.0209,17.0779
2,17.0445,2.16576,0,0.0256,2.19546,0.001024,16.7571,16.8066
0,16.0297,2.15859,0.001024,0.0256,2.18829,0.001024,16.2762,16.3298
1,16.7465,2.16269,0,0.0256,2.19238,0.001024,15.6785,15.7315
2,17.2083,2.16166,0.001024,0.0256,2.19238,0.001024,16.4353,16.4808
0,15.7706,2.15757,0.001024,0.0256,2.18726,0.001024,16.082,16.1156
1,18.3788,2.1545,0,0.0256,2.18419,0.001024,14.1952,14.2265
