Frame,FrameGPUTime,TerrainGPUTime,LaunchpadsGPUTime,SpaceshipGPUTime,ViewAGPUTime,ViewBGPUTime,CPURenderTime,CPUFrameTime,KeyPressC,KeyPressShiftC,KeyPressV,KeyPressF,CameraMovement,SplitScreenEnabled,Camera1Mode,Camera2Mode
4,2.211,2.159,0.025,0.001,2.186,0.001,1.952,2.086,0,0,0,0,0,0,0,1
5,2.592,2.542,0.024,0.001,2.572,0.001,2.395,2.476,0,0,0,0,0,0,0,1
6,2.565,2.516,0.025,0.001,2.546,0.001,0.047,0.087,0,0,0,0,0,0,0,1
7,3.532,2.512,0.026,0.001,2.542,0.001,1.771,1.797,0,0,0,0,0,0,0,1
8,17.155,2.151,0.024,0.000,2.179,0.001,0.056,0.101,0,0,0,0,0,0,0,1
9,18.689,2.150,0.025,0.001,2.180,0.001,16.817,16.843,0,0,0,0,0,0,0,1
10,14.297,2.149,0.025,0.001,2.179,0.001,0.074,0.133,0,0,0,0,0,0,0,1
11,17.968,2.162,0.025,0.001,2.191,0.001,14.309,14.343,0,0,0,0,0,0,0,1
12,15.583,2.162,0.025,0.001,2.190,0.001,0.055,0.104,0,0,0,0,0,0,0,1
13,35.746,2.162,0.026,0.001,2.192,0.001,16.178,16.207,0,0,0,0,0,0,0,1
14,13.703,2.148,0.025,0.000,2.177,0.001,0.072,0.129,0,0,0,0,0,0,0,1
15,19.073,2.147,0.025,0.001,2.176,0.001,13.351,13.399,0,0,0,0,0,0,0,1
16,15.212,2.148,0.025,0.001,2.178,0.001,0.087,0.166,0,0,0,0,0,0,0,1
17,18.347,2.150,0.025,0.001,2.180,0.001,16.200,16.238,0,0,0,0,0,0,0,1
18,14.429,2.148,0.025,0.001,2.177,0.001,0.069,0.151,0,0,0,0,0,0,0,1
19,18.652,2.147,0.025,0.001,2.177,0.001,14.041,14.073,0,0,0,0,0,0,0,1
20,14.972,2.150,0.026,0.001,2.181,0.000,0.081,0.147,0,0,0,0,0,0,0,1
21,18.614,2.181,0.026,0.000,2.211,0.000,14.846,14.883,0,0,0,0,0,0,0,1
22,14.992,2.153,0.026,0.001,2.184,0.001,0.070,0.129,0,0,0,0,0,0,0,1
23,16.953,2.148,0.025,0.001,2.178,0.001,14.760,14.796,0,0,0,0,0,0,0,1
24,16.768,2.167,0.027,0.001,2.198,0.001,0.501,0.564,0,0,0,0,0,0,0,1
25,17.132,2.161,0.026,0.001,2.190,0.001,15.216,15.288,0,0,0,0,0,0,0,1
26,15.059,2.158,0.026,0.001,2.188,0.001,0.124,0.189,0,0,0,0,0,0,0,1
