Frame,FrameGPUTime,TerrainGPUTime,LaunchpadsGPUTime,SpaceshipGPUTime,ViewAGPUTime,ViewBGPUTime,CPURenderTime,CPUFrameTime,KeyPressC,KeyPressShiftC,KeyPressV,KeyPressF,CameraMovement,SplitScreenEnabled,Camera1Mode,Camera2Mode
4,1.83296,1.16531,0.012288,0,1.67111e+13,1.73566e+12,2.5662,2.6804,0,0,0,0,0,0,0,1
5,1.20422,1.152,0.01024,0.001024,1.67111e+13,1.73566e+12,0.8313,0.9742,0,0,0,0,0,0,0,1
6,1.63328,1.56262,0.011264,0.001024,1.67111e+13,1.73566e+12,0.2318,0.2512,0,0,0,0,0,0,0,1
7,8.06707,1.55034,0.01024,0.001024,1.67111e+13,1.73566e+12,0.2058,0.2479,0,0,0,0,0,0,0,1
8,18.2497,1.15917,0.011264,0.001024,1.67111e+13,1.73566e+12,0.1592,0.1874,0,0,0,0,0,0,0,1
9,17.1172,1.16224,0.01024,0.001024,1.67111e+13,1.73566e+12,0.7885,0.8177,0,0,0,0,0,0,0,1
10,18.0531,1.16326,0.01024,0.001024,1.67111e+13,1.73566e+12,1.1961,1.2466,0,0,0,0,0,0,0,1
11,14.6708,1.16019,0.01024,0.001024,1.67111e+13,1.73566e+12,2.3559,2.4417,0,0,0,0,0,0,0,1
12,17.7265,1.15917,0.01024,0.001024,1.67111e+13,1.73566e+12,0.7219,0.742,0,0,0,0,0,0,0,1
13,33.3087,1.152,0.01024,0.001024,1.67111e+13,1.73566e+12,0.8235,0.8623,0,0,0,0,0,0,0,1
14,15.4737,1.16019,0.011264,0.001024,1.67111e+13,1.73566e+12,0.6528,0.6864,0,0,0,0,0,0,0,1
15,17.4705,1.15917,0.011264,0,1.67111e+13,1.73566e+12,0.3935,0.4248,0,0,0,0,0,0,0,1
16,15.658,1.15814,0.011264,0.001024,1.67111e+13,1.73566e+12,1.2423,1.2934,0,0,0,0,0,0,0,1
17,16.5929,1.16122,0.028672,0.001024,1.67111e+13,1.73566e+12,0.3736,0.4133,0,0,0,0,0,0,0,1
18,17.2349,1.15814,0.01024,0.001024,1.67111e+13,1.73566e+12,0.4328,0.473,0,0,0,0,0,0,0,1
19,16.341,1.15917,0.011264,0.001024,1.67111e+13,1.73566e+12,0.7965,0.8427,0,0,0,0,0,0,0,1
20,16.5683,1.15917,0.011264,0.001024,1.67111e+13,1.73566e+12,0.4448,0.4712,0,0,0,0,0,0,0,1
21,17.4275,1.15917,0.01024,0.001024,1.67111e+13,1.73566e+12,0.2701,0.3247,0,0,0,0,0,0,0,1
22,16.1495,1.15814,0.011264,0.001024,1.67111e+13,1.73566e+12,0.8672,0.9175,0,0,0,0,0,0,0,1
23,16.6175,1.15814,0.011264,0.001024,1.67111e+13,1.73566e+12,0.7537,0.7845,0,0,0,0,0,0,0,1
24,17.4305,1.15814,0.01024,0.001024,1.67111e+13,1.73566e+12,0.4941,0.53,0,0,0,0,0,0,0,1
25,18.3306,1.15814,0.011264,0.001024,1.67111e+13,1.73566e+12,0.5219,0.5699,0,0,0,0,0,0,0,1
26,14.7487,1.14176,0.012288,0.001024,1.67111e+13,1.73566e+12,0.6751,0.7578,0,0,0,0,0,0,0,1
27,16.7219,1.15917,0.01024,0.001024,1.67111e+13,1.73566e+12,0.2353,0.2632,0,0,0,0,0,0,0,1
28,16.5192,1.16429,0.00512,0.001024,1.67111e+13,1.73566e+12,0.2627,0.2856,0,0,0,0,0,0,0,1
29,16.1321,1.15814,0.011264,0.001024,1.67111e+13,1.73566e+12,0.6736,0.6964,0,0,0,0,0,0,0,1
30,16.3686,1.15814,0.011264,0,1.67111e+13,1.73566e+12,0.495,0.5221,0,0,0,0,0,0,0,1
31,17.9599,1.15917,0.011264,0.001024,1.67111e+13,1.73566e+12,0.2226,0.2515,0,0,0,0,0,0,0,1
32,15.2003,1.15917,0.01024,0.001024,1.67111e+13,1.73566e+12,0.4367,0.4588,0,0,0,0,0,0,0,1
33,17.751,1.15814,0.01024,0.001024,1.67111e+13,1.73566e+12,0.7142,0.7525,0,0,0,0,0,0,0,1
34,16.8489,1.15917,0.01024,0.001024,1.67111e+13,1.73566e+12,0.2265,0.2458,0,0,0,0,0,0,0,1
35,16.1546,1.15814,0.011264,0.001024,1.67111e+13,1.73566e+12,0.3499,0.3699,0,0,0,0,0,0,0,1
36,16.7649,1.15917,0.011264,0.001024,1.67111e+13,1.73566e+12,0.2281,0.2483,0,0,0,0,0,0,0,1
37,17.406,1.16019,0.009216,0.001024,1.67111e+13,1.73566e+12,0.6579,0.7042,0,0,0,0,0,0,0,1
38,17.324,1.15814,0.01024,0.001024,1.67111e+13,1.73566e+12,0.6954,0.7377,0,0,0,0,0,0,0,1
39,15.8638,1.14381,0.01024,0.001024,1.67111e+13,1.73566e+12,0.4948,0.5224,0,0,0,0,0,0,0,1
40,17.4766,1.15917,0.011264,0.001024,1.67111e+13,1.73566e+12,1.1106,1.1337,0,0,0,0,0,0,0,1
41,15.6785,1.22266,0.011264,0.001024,1.67111e+13,1.73566e+12,0.1903,0.2126,0,0,0,0,0,0,0,1
42,16.3215,1.21958,0.011264,0.001024,1.67111e+13,1.73566e+12,0.8649,0.9098,0,0,0,0,0,0,0,1
43,17.0568,1.21651,0.012288,0.001024,1.67111e+13,1.73566e+12,0.2849,0.3487,0,0,0,0,0,0,0,1
44,15.4378,1.20934,0.011264,0.001024,1.67111e+13,1.73566e+12,0.2666,0.2978,0,0,0,0,0,0,0,1
45,17.9241,1.21958,0.011264,0.001024,1.67111e+13,1.73566e+12,0.2989,0.3252,0,0,0,0,0,0,0,1
46,16.514,1.21754,0.011264,0.001024,1.67111e+13,1.73566e+12,0.48,0.5207,0,0,0,0,0,0,0,1
47,16.2939,1.21242,0.011264,0.001024,1.67111e+13,1.73566e+12,0.1911,0.214,0,0,0,0,0,0,0,1
48,16.2898,1.21856,0.011264,0.001024,1.67111e+13,1.73566e+12,0.4332,0.4537,0,0,0,0,0,0,0,1
49,18.4351,1.21549,0.012288,0.001024,1.67111e+13,1.73566e+12,0.5661,0.5879,0,0,0,0,0,0,0,1
50,16.3932,1.21446,0.011264,0.001024,1.67111e+13,1.73566e+12,1.361,1.4029,0,0,0,0,0,0,0,1
51,17.0701,1.21139,0.012288,0.001024,1.67111e+13,1.73566e+12,0.7709,0.7919,0,0,0,0,0,0,0,1
52,16.9144,1.21651,0.012288,0.001024,1.67111e+13,1.73566e+12,0.9707,1.0082,0,0,0,0,0,0,0,1
53,16.4393,1.20013,0.012288,0.001024,1.67111e+13,1.73566e+12,0.2015,0.2232,0,0,0,0,0,0,0,1
54,15.6641,1.21242,0.012288,0.001024,1.67111e+13,1.73566e+12,0.4063,0.4273,0,0,0,0,0,0,0,1
55,16.9933,1.21242,0.013312,0.001024,1.67111e+13,1.73566e+12,0.1824,0.203,0,0,0,0,0,0,0,1
56,16.3932,1.22982,0.011264,0.001024,1.67111e+13,1.73566e+12,0.276,0.3119,0,0,0,0,0,0,0,1
57,15.8454,1.23597,0.012288,0.001024,1.67111e+13,1.73566e+12,0.2722,0.3051,0,0,0,0,0,0,0,1
58,18.0122,1.23699,0.011264,0.001024,1.67111e+13,1.73566e+12,0.4375,0.466,0,0,0,0,0,0,0,1
59,15.5566,1.23597,0.013312,0.001024,1.67111e+13,1.73566e+12,0.8395,0.8604,0,0,0,0,0,0,0,1
60,17.1469,1.24211,0.012288,0.001024,1.67111e+13,1.73566e+12,0.413,0.4307,0,0,0,0,0,0,0,1
61,16.555,1.24621,0.011264,0.001024,1.67111e+13,1.73566e+12,0.2705,0.3018,0,0,0,0,0,0,0,1
62,16.7547,1.23494,0.012288,0.001024,1.67111e+13,1.73566e+12,0.877,0.9138,0,0,0,0,0,0,0,1
63,17.2104,1.24109,0.011264,0.001024,1.67111e+13,1.73566e+12,0.2389,0.2583,0,0,0,0,0,0,0,1
64,17.9692,1.24109,0.011264,0.001024,1.67111e+13,1.73566e+12,0.6101,0.6384,0,0,0,0,0,0,0,1
65,14.1906,1.24109,0.008192,0.00512,1.67111e+13,1.73566e+12,1.6718,1.7443,0,0,0,0,0,0,0,1
66,19.8943,1.23699,0.011264,0.001024,1.67111e+13,1.73566e+12,0.3374,0.3567,0,0,0,0,0,0,0,1
67,13.8854,1.23699,0.012288,0.001024,1.67111e+13,1.73566e+12,0.5075,0.5946,0,0,0,0,0,0,0,1
